                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84018,                0.78761,                      1,                 1.0332,             0.00023422,             0.00023422,             0.00023422
                      2,                0.30364,                0.85841,                      1,                0.92168,             0.00046755,             0.00046755,             0.00046755
                      3,                0.18358,                0.89381,                      1,                0.90092,             0.00069616,             0.00069616,             0.00069616
                      4,                0.11914,                 0.9115,                      1,                0.86096,             0.00069279,             0.00069279,             0.00069279
                      5,                 0.1128,                0.92035,                      1,                0.84015,             0.00068573,             0.00068573,             0.00068573
                      6,                0.10153,                0.88496,                      1,                0.87182,             0.00067866,             0.00067866,             0.00067866
                      7,                0.07781,                 0.9292,                      1,                0.84143,             0.00067159,             0.00067159,             0.00067159
                      8,                0.08093,                0.93805,                      1,                0.84367,             0.00066452,             0.00066452,             0.00066452
                      9,                0.06916,                0.92035,                      1,                0.83786,             0.00065745,             0.00065745,             0.00065745
                     10,                0.09926,                 0.9115,                      1,                0.82907,             0.00065038,             0.00065038,             0.00065038
                     11,                0.08925,                0.89381,                      1,                0.84879,             0.00064331,             0.00064331,             0.00064331
                     12,                0.07893,                0.89381,                      1,                0.85672,             0.00063625,             0.00063625,             0.00063625
                     13,                0.07653,                0.88496,                      1,                0.86293,             0.00062918,             0.00062918,             0.00062918
                     14,                0.04586,                0.85841,                      1,                0.88088,             0.00062211,             0.00062211,             0.00062211
                     15,                0.07062,                0.89381,                      1,                0.87248,             0.00061504,             0.00061504,             0.00061504
                     16,                0.04491,                0.88496,                      1,                0.87562,             0.00060797,             0.00060797,             0.00060797
                     17,                 0.0519,                0.87611,                      1,                0.88253,              0.0006009,              0.0006009,              0.0006009
                     18,                0.02666,                0.87611,                      1,                0.85742,             0.00059383,             0.00059383,             0.00059383
                     19,                0.02984,                0.89381,                      1,                0.86977,             0.00058677,             0.00058677,             0.00058677
                     20,                0.03089,                0.86726,                      1,                0.85502,              0.0005797,              0.0005797,              0.0005797
                     21,                0.03039,                0.84956,                      1,                0.87417,             0.00057263,             0.00057263,             0.00057263
                     22,                0.04065,                0.88496,                      1,                0.85406,             0.00056556,             0.00056556,             0.00056556
                     23,                0.05838,                0.89381,                      1,                 0.8662,             0.00055849,             0.00055849,             0.00055849
                     24,                0.04263,                0.88496,                      1,                 0.8494,             0.00055142,             0.00055142,             0.00055142
                     25,                0.03933,                0.89381,                      1,                0.85072,             0.00054435,             0.00054435,             0.00054435
                     26,                0.05149,                0.89381,                      1,                0.85718,             0.00053728,             0.00053728,             0.00053728
                     27,                0.03497,                0.93805,                      1,                0.84539,             0.00053022,             0.00053022,             0.00053022
                     28,                 0.0347,                0.87611,                      1,                0.87021,             0.00052315,             0.00052315,             0.00052315
                     29,                0.03683,                0.90265,                      1,                0.85521,             0.00051608,             0.00051608,             0.00051608
                     30,                0.02415,                0.87611,                      1,                0.85452,             0.00050901,             0.00050901,             0.00050901
                     31,                0.03564,                 0.9115,                      1,                0.84003,             0.00050194,             0.00050194,             0.00050194
                     32,                0.02772,                 0.9115,                      1,                0.84668,             0.00049487,             0.00049487,             0.00049487
                     33,                0.02773,                0.92035,                      1,                0.83523,              0.0004878,              0.0004878,              0.0004878
                     34,                0.02393,                0.92035,                      1,                0.83831,             0.00048074,             0.00048074,             0.00048074
                     35,                0.02851,                0.89381,                      1,                0.83743,             0.00047367,             0.00047367,             0.00047367
                     36,                0.04081,                0.90265,                      1,                0.83464,              0.0004666,              0.0004666,              0.0004666
                     37,                0.03192,                0.89381,                      1,                0.87027,             0.00045953,             0.00045953,             0.00045953
                     38,                0.02459,                0.87611,                      1,                0.86626,             0.00045246,             0.00045246,             0.00045246
                     39,                0.05157,                0.90265,                      1,                0.84403,             0.00044539,             0.00044539,             0.00044539
                     40,                0.03523,                0.89381,                      1,                0.85423,             0.00043832,             0.00043832,             0.00043832
                     41,                 0.0274,                0.90265,                      1,                0.84453,             0.00043126,             0.00043126,             0.00043126
                     42,                0.01622,                0.90265,                      1,                0.83838,             0.00042419,             0.00042419,             0.00042419
                     43,                0.02196,                 0.9115,                      1,                0.82366,             0.00041712,             0.00041712,             0.00041712
                     44,                0.02811,                 0.9115,                      1,                0.82857,             0.00041005,             0.00041005,             0.00041005
                     45,                 0.0286,                 0.9115,                      1,                0.82648,             0.00040298,             0.00040298,             0.00040298
                     46,                 0.0282,                0.89381,                      1,                0.86347,             0.00039591,             0.00039591,             0.00039591
                     47,                0.02122,                0.86726,                      1,                0.86849,             0.00038884,             0.00038884,             0.00038884
                     48,                0.01861,                0.90265,                      1,                0.84448,             0.00038178,             0.00038178,             0.00038178
                     49,                0.01308,                0.90265,                      1,                0.83501,             0.00037471,             0.00037471,             0.00037471
                     50,                0.01265,                0.89381,                      1,                0.85812,             0.00036764,             0.00036764,             0.00036764
                     51,                0.02095,                0.89381,                      1,                0.84698,             0.00036057,             0.00036057,             0.00036057
                     52,                0.01515,                0.90265,                      1,                0.85058,              0.0003535,              0.0003535,              0.0003535
                     53,                 0.0136,                0.90265,                      1,                0.83268,             0.00034643,             0.00034643,             0.00034643
                     54,                0.00885,                 0.9115,                      1,                0.81922,             0.00033936,             0.00033936,             0.00033936
                     55,                0.02314,                 0.9292,                      1,                0.82837,              0.0003323,              0.0003323,              0.0003323
                     56,                0.01135,                0.90265,                      1,                0.83308,             0.00032523,             0.00032523,             0.00032523
                     57,                0.02083,                0.90265,                      1,                0.85283,             0.00031816,             0.00031816,             0.00031816
                     58,                0.02406,                0.92035,                      1,                0.83028,             0.00031109,             0.00031109,             0.00031109
                     59,                0.01718,                0.90265,                      1,                0.83371,             0.00030402,             0.00030402,             0.00030402
                     60,                0.01417,                0.90265,                      1,                0.83486,             0.00029695,             0.00029695,             0.00029695
